"Contour Data = Velocity Magnitude mm/s"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\ADCP300\BS21_000.000"
"Broadband 307.2 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 21/08/09"
"First Ensemble Time = 15:01:34.23"
"Ensemble Interval (s) = "	1200,00
"1st Bin Range (m) = "	2,74
"Bin Size (m) ="	0,50

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5	6	7	8	9
189	21	08	12	03	01	34	23		107	43	58	88	152	133	236	95	162
190	21	08	12	03	21	34	23		120	166	69	32	191	84	128	102	179
191	21	08	12	03	41	34	23		344	159	47	206	66	177	141	89	526
192	21	08	12	04	01	34	23		84	86	205	78	78	231	102	127	154
193	21	08	12	04	21	34	23		194	283	141	249	47	58	122	59	77
194	21	08	12	04	41	34	23		84	87	76	179	93	146	75	107	84
195	21	08	12	05	01	34	23		136	13	52	66	90	43	46	173	236
196	21	08	12	05	21	34	23		99	27	67	41	46	45	47	73	231
197	21	08	12	05	41	34	23		97	81	66	112	95	49	176	143	121
198	21	08	12	06	01	34	23		78	79	43	54	84	134	166	31	182
199	21	08	12	06	21	34	23		64	17	99	70	92	47	49	88	192
200	21	08	12	06	41	34	23		92	61	82	166	61	70	62	50	25
201	21	08	12	07	01	34	23		141	113	61	27	65	109	24	29	132
202	21	08	12	07	21	34	23		131	19	52	77	126	88	114	105	195
203	21	08	12	07	41	34	23		55	49	80	11	70	119	102	149	138
204	21	08	12	08	01	34	23		66	146	107	157	157	35	127	162	112
205	21	08	12	08	21	34	23		61	27	108	8	96	114	72	103	319
206	21	08	12	08	41	34	23		87	99	48	32	84	177	52	153	210
207	21	08	12	09	01	34	23		70	54	145	74	108	86	52	79	54
208	21	08	12	09	21	34	23		100	93	75	128	78	75	277	245	49
209	21	08	12	09	41	34	23		44	143	32	53	20	48	159	77	305
210	21	08	12	10	01	34	23		40	50	61	117	166	168	88	349	257
