"Contour Data = Velocity Direction degrees"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\ADCP300\BS21_000.000"
"Broadband 307.2 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 21/08/09"
"First Ensemble Time = 15:01:34.23"
"Ensemble Interval (s) = "	1200,00
"1st Bin Range (m) = "	2,74
"Bin Size (m) ="	0,50

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5	6	7	8	9
136	21	08	11	09	21	34	23		47,7	60,5	2,3	65,1	70,2	8,7	4,0	11,3	14,3
137	21	08	11	09	41	34	23		347,9	16,6	28,5	342,5	358,3	357,0	32,3	29,0	359,1
138	21	08	11	10	01	34	23		356,2	4,2	31,9	341,1	64,9	53,3	8,2	6,5	331,1
139	21	08	11	10	21	34	23		1,2	103,6	85,4	292,3	306,5	112,4	299,2	261,2	333,9
140	21	08	11	10	41	34	23		36,8	254,9	49,3	17,1	139,6	35,6	19,4	341,6	227,6
141	21	08	11	11	01	34	23		29,1	17,3	14,8	42,5	25,9	33,7	5,5	56,2	356,2
142	21	08	11	11	21	34	23		11,6	43,7	235,9	84,1	25,9	342,6	351,7	350,3	115,2
143	21	08	11	11	41	34	23		29,6	5,1	289,0	59,6	61,2	49,7	103,2	60,7	301,2
144	21	08	11	12	01	34	23		21,8	38,0	13,6	61,6	2,5	293,1	354,5	57,5	346,3
145	21	08	11	12	21	34	23		333,4	339,4	0,0	10,4	290,4	41,7	349,7	343,3	274,7
146	21	08	11	12	41	34	23		324,3	194,5	211,2	305,4	83,8	71,0	72,4	310,9	24,3
147	21	08	11	13	01	34	23		31,5	351,6	53,4	317,0	176,9	300,5	333,0	275,4	76,1
148	21	08	11	13	21	34	23		257,1	115,3	209,0	220,9	137,5	67,2	5,3	320,0	252,3
149	21	08	11	13	41	34	23		99,0	291,3	110,2	38,7	12,4	94,6	136,3	340,2	73,6
150	21	08	11	14	01	34	23		158,6	225,0	216,1	199,2	153,0	178,6	213,0	62,3	243,2
151	21	08	11	14	21	34	23		273,1	270,7	253,1	334,4	203,6	232,8	179,3	148,3	241,9
152	21	08	11	14	41	34	23		146,9	186,3	268,8	214,2	251,3	128,7	66,1	119,0	307,9
153	21	08	11	15	01	34	23		71,6	277,1	57,9	334,4	340,9	288,0	55,9	342,5	20,5
154	21	08	11	15	21	34	23		29,3	39,2	342,1	14,0	292,6	353,5	259,3	33,5	77,0
155	21	08	11	15	41	34	23		341,6	335,0	343,3	1,7	340,5	278,1	27,8	317,1	333,1
156	21	08	11	16	01	34	23		222,4	243,4	205,4	290,3	245,9	272,5	119,7	190,3	310,2
157	21	08	11	16	21	34	23		296,0	265,5	306,1	298,7	118,3	191,8	65,6	115,0	224,0
158	21	08	11	16	41	34	23		336,9	329,0	230,6	167,7	353,0	182,7	216,9	271,7	248,1
159	21	08	11	17	01	34	23		100,9	275,3	342,1	100,1	99,8	340,1	325,3	80,9	257,4
160	21	08	11	17	21	34	23		40,1	229,4	273,4	186,9	173,4	250,4	224,4	253,2	119,9
161	21	08	11	17	41	34	23		18,8	13,6	338,8	14,3	250,9	343,7	257,0	330,9	284,0
162	21	08	11	18	01	34	23		195,6	191,3	116,9	127,6	128,2	10,6	303,7	172,7	260,5
163	21	08	11	18	21	34	23		297,8	272,3	348,7	79,7	353,4	235,9	210,2	143,6	95,9
164	21	08	11	18	41	34	23		15,6	353,4	98,1	333,4	322,2	143,6	233,6	270,7	340,5
165	21	08	11	19	01	34	23		54,2	72,8	84,4	168,1	64,3	271,3	306,3	44,2	2,5
166	21	08	11	19	21	34	23		329,0	131,2	348,4	238,4	55,2	186,0	297,5	93,3	347,6
167	21	08	11	19	41	34	23		305,9	31,0	347,7	136,3	349,6	49,4	162,4	56,5	359,1
168	21	08	11	20	01	34	23		40,6	352,3	295,0	85,4	114,8	129,3	90,0	25,9	112,2
169	21	08	11	20	21	34	23		130,5	349,4	238,7	275,1	296,6	83,0	16,3	0,0	18,8
170	21	08	11	20	41	34	23		172,0	39,4	309,6	302,6	353,0	315,0	349,2	273,5	264,5
171	21	08	11	21	01	34	23		164,5	244,0	301,8	160,6	308,3	327,0	351,3	28,4	316,9
172	21	08	11	21	21	34	23		26,6	88,2	201,2	297,5	194,5	226,2	320,9	47,5	47,8
173	21	08	11	21	41	34	23		327,9	149,2	77,1	299,4	323,7	317,0	293,0	330,0	290,6
174	21	08	11	22	01	34	23		330,8	188,5	150,4	256,3	36,9	37,2	20,0	16,1	331,8
175	21	08	11	22	21	34	23		0,0	311,3	46,3	277,6	3,7	30,5	345,2	325,6	66,8
176	21	08	11	22	41	34	23		0,0	104,7	300,3	4,0	353,3	288,4	236,3	40,2	8,6
177	21	08	11	23	01	34	23		357,3	288,8	308,9	353,3	17,9	307,5	345,3	9,3	319,2
178	21	08	11	23	21	34	23		67,8	121,7	26,8	47,2	293,1	118,2	329,8	168,2	153,1
179	21	08	11	23	41	34	23		25,6	214,5	160,2	15,3	319,6	42,2	7,6	293,1	99,3
180	21	08	12	00	01	34	23		17,7	40,6	47,9	354,2	46,8	185,6	91,8	162,4	166,7
181	21	08	12	00	21	34	23		221,5	40,7	80,3	93,4	116,0	357,3	221,6	43,1	115,6
182	21	08	12	00	41	34	23		337,2	234,6	16,7	256,0	314,1	296,3	52,0	80,2	145,1
183	21	08	12	01	01	34	23		332,1	13,7	61,1	261,7	152,2	20,8	199,6	58,6	208,4
184	21	08	12	01	21	34	23		210,2	124,7	261,0	290,3	151,9	352,9	51,7	294,0	64,9
185	21	08	12	01	41	34	23		10,7	6,4	349,2	199,1	82,0	101,5	15,0	62,6	146,0
186	21	08	12	02	01	34	23		285,8	337,5	165,6	101,3	38,8	56,4	81,3	17,8	284,8
187	21	08	12	02	21	34	23		295,3	328,1	331,8	193,5	302,2	308,2	329,0	348,7	11,9
188	21	08	12	02	41	34	23		177,7	219,1	299,1	37,3	92,5	335,3	127,2	58,7	357,0
189	21	08	12	03	01	34	23		56,0	324,5	358,0	159,3	164,0	123,9	116,5	191,0	239,6
190	21	08	12	03	21	34	23		355,2	21,6	275,8	98,9	47,5	224,5	36,4	91,1	105,6
191	21	08	12	03	41	34	23		74,8	303,7	290,0	320,1	8,7	9,8	194,8	92,6	26,7
192	21	08	12	04	01	34	23		103,7	120,7	86,9	335,1	350,4	76,5	78,7	50,8	89,3
193	21	08	12	04	21	34	23		34,1	349,0	31,1	34,2	124,7	93,0	114,7	36,1	190,4
194	21	08	12	04	41	34	23		296,9	271,3	225,5	358,4	91,2	21,7	315,0	209,7	128,2
195	21	08	12	05	01	34	23		348,9	175,6	39,5	77,7	81,7	113,0	232,1	351,4	313,1
196	21	08	12	05	21	34	23		286,4	124,3	282,0	315,0	49,4	50,4	283,4	282,7	105,5
197	21	08	12	05	41	34	23		24,4	260,1	91,7	24,3	58,8	0,0	140,1	25,3	162,8
198	21	08	12	06	01	34	23		350,4	359,3	7,9	36,0	321,8	2,6	49,4	262,6	57,1
199	21	08	12	06	21	34	23		163,6	35,5	21,4	105,8	292,4	136,7	271,2	43,2	251,2
200	21	08	12	06	41	34	23		316,8	62,6	334,1	47,9	356,2	71,6	309,8	297,6	260,9
201	21	08	12	07	01	34	23		333,1	344,6	69,8	280,5	225,0	302,7	247,8	229,2	238,4
202	21	08	12	07	21	34	23		295,4	276,0	221,1	16,6	12,8	20,7	0,0	35,3	55,2
203	21	08	12	07	41	34	23		325,4	175,3	338,9	264,8	345,2	22,2	322,6	243,8	76,6
204	21	08	12	08	01	34	23		171,3	170,2	348,7	332,8	301,5	40,4	271,4	337,9	121,8
205	21	08	12	08	21	34	23		81,5	23,7	40,5	315,0	13,3	343,6	336,3	276,7	29,1
206	21	08	12	08	41	34	23		270,7	339,4	22,2	339,9	291,7	284,0	112,6	257,5	152,2
207	21	08	12	09	01	34	23		354,3	309,0	6,7	339,4	330,1	261,3	270,0	148,5	225,7
208	21	08	12	09	21	34	23		56,0	335,9	315,0	1,8	300,2	336,5	5,6	351,3	35,0
209	21	08	12	09	41	34	23		117,1	170,7	65,9	74,6	296,6	249,3	126,3	168,0	351,1
210	21	08	12	10	01	34	23		293,4	177,7	61,8	282,8	270,3	306,5	326,1	348,1	299,6
