25.21	-3.5	0.0003
25.21	-4	0.0180
25.21	-4.5	0.0011
25.21	-5	0.0174
25.41	-1	0.0025
25.41	-1.5	0.0363
25.41	-2	0.0310
25.41	-2.5	0.0038
25.41	-3	0.0033
25.41	-3.5	0.0009
25.41	-4	0.0014
25.41	-4.5	0.0113
25.41	-5	0.0051
26.01	-1	0.0586
26.01	-1.5	0.0018
26.01	-2	0.0025
26.01	-2.5	0.0067
26.01	-3	0.0320
26.01	-3.5	0.0010
26.01	-4	0.0807
26.01	-4.5	0.0185
26.01	-5	0.0380
26.21	-1	0.0337
26.21	-1.5	0.0033
26.21	-2	0.0209
26.21	-2.5	0.0029
26.21	-3	0.0087
26.21	-3.5	0.0273
26.21	-4	0.0100
26.21	-4.5	0.0315
26.21	-5	0.0073
26.41	-1	0.0204
26.41	-1.5	0.0033
26.41	-2	0.0075
26.41	-2.5	0.0072
26.41	-3	0.0735
26.41	-3.5	0.0086
26.41	-4	0.0040
26.41	-4.5	0.0107
26.41	-5	0.0102
27.01	-1	0.0256
27.01	-1.5	0.0122
27.01	-2	0.0225
27.01	-2.5	0.0062
27.01	-3	0.0031
27.01	-3.5	0.0036
27.01	-4	0.0062
27.01	-4.5	0.0033
27.01	-5	0.0046
27.21	-1	0.0828
27.21	-1.5	0.0065
27.21	-2	0.0091
27.21	-2.5	0.0256
27.21	-3	0.0031
27.21	-3.5	0.0147
27.21	-4	0.0044
27.21	-4.5	0.0080
27.21	-5	0.0037
27.41	-1	0.0054
27.41	-1.5	0.0046
27.41	-2	0.0065
27.41	-2.5	0.0043
27.41	-3	0.0066
27.41	-3.5	0.0063
27.41	-4	0.0017
27.41	-4.5	0.0062
27.41	-5	0.0011
28.01	-1	0.0050
28.01	-1.5	0.0021
28.01	-2	0.0007
28.01	-2.5	0.0014
28.01	-3	0.0032
28.01	-3.5	0.0422
28.01	-4	0.0467
28.01	-4.5	0.0115
28.01	-5	0.0073
28.21	-1	0.0045
28.21	-1.5	0.0111
28.21	-2	0.0614
28.21	-2.5	0.0026
28.21	-3	0.0133
28.21	-3.5	0.0215
28.21	-4	0.0042
28.21	-4.5	0.0865
28.21	-5	0.0406
28.41	-1	0.0265
28.41	-1.5	0.0043
28.41	-2	0.0583
28.41	-2.5	0.0096
28.41	-3	0.0096
28.41	-3.5	0.0005
28.41	-4	0.0021
28.41	-4.5	0.0132
28.41	-5	0.0211
29.01	-1	0.0057
29.01	-1.5	0.0032
29.01	-2	0.0750
29.01	-2.5	0.0008
29.01	-3	0.0034
29.01	-3.5	0.0019
29.01	-4	0.0010
29.01	-4.5	0.0012
29.01	-5	0.0074
29.21	-1	0.1595
29.21	-1.5	0.0233
29.21	-2	0.0019
29.21	-2.5	0.0449
29.21	-3	0.0052
29.21	-3.5	0.0077
29.21	-4	0.0006
29.21	-4.5	0.0146
29.21	-5	0.0114
29.41	-1	0.1104
29.41	-1.5	0.0000
29.41	-2	0.0808
29.41	-2.5	0.0073
29.41	-3	0.0065
29.41	-3.5	0.0036
29.41	-4	0.0051
29.41	-4.5	0.0014
29.41	-5	0.0014
30.01	-1	0.0206
30.01	-1.5	0.0119
30.01	-2	0.0202
30.01	-2.5	0.0492
30.01	-3	0.0032
30.01	-3.5	0.0113
30.01	-4	0.0049
30.01	-4.5	0.0041
30.01	-5	0.0075
30.21	-1	0.0293
30.21	-1.5	0.0138
30.21	-2	0.0114
30.21	-2.5	0.0023
30.21	-3	0.0067
30.21	-3.5	0.1051
30.21	-4	0.0004
30.21	-4.5	0.0090
30.21	-5	0.0008
30.41	-1	0.0078
30.41	-1.5	0.0053
30.41	-2	0.0097
30.41	-2.5	0.0097
30.41	-3	0.0290
30.41	-3.5	0.0178
30.41	-4	0.0026
30.41	-4.5	0.0109
30.41	-5	0.0131
31.01	-1	0.0057
31.01	-1.5	0.0013
31.01	-2	0.0326
31.01	-2.5	0.0030
31.01	-3	0.0755
31.01	-3.5	0.0430
