"Contour Data = Velocity Direction degrees"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\DVS\DVS1.pd0"
"Broadband 2457.6 kHz"
"Pings/Ens ="	1
"Time/Ping = 00:04.00"
"First Ensemble Date = 00/01/01"
"First Ensemble Time = 01:44:09.00"
"Ensemble Interval (s) = "	0,00
"1st Bin Range (m) = "	1,32
"Bin Size (m) ="	1,00

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5
133	21	08	11	10	02	49	00		176,3	200,1	188,3	188,7	209,7
134	21	08	11	10	22	49	00		260,5	259,4	278,5	246,4	285,5
135	21	08	11	10	42	49	00		0,0	322,4	227,7	328,6	128,7
136	21	08	11	11	02	49	00		349,7	193,2	206,6	158,2	185,7
137	21	08	11	11	22	49	00		32,7	40,1	25,2	26,6	18,4
138	21	08	11	11	42	49	00		199,0	232,1	212,2	223,6	265,7
139	21	08	11	12	02	49	00		120,4	126,4	134,3	115,7	110,1
140	21	08	11	12	22	49	00		259,2	261,1	276,6	265,5	276,2
141	21	08	11	12	42	49	00		135,0	107,1	121,6	141,3	39,3
142	21	08	11	13	02	49	00		302,5	225,0	270,0	347,9	122,3
143	21	08	11	13	22	49	00		323,6	317,6	315,0	336,3	322,0
144	21	08	11	13	42	49	00		210,5	203,2	194,5	201,0	208,6
145	21	08	11	14	02	49	00		192,5	204,6	202,9	197,1	227,1
146	21	08	11	14	22	49	00		141,3	149,7	128,0	170,0	177,6
147	21	08	11	14	42	49	00		172,1	180,0	186,5	195,7	183,2
148	21	08	11	15	02	49	00		76,3	90,0	84,6	96,7	121,0
149	21	08	11	15	22	49	00		218,3	237,1	223,7	229,8	237,8
150	21	08	11	15	42	49	00		32,2	36,4	40,9	59,3	74,3
151	21	08	11	16	02	49	00		253,3	238,2	253,0	223,5	244,9
152	21	08	11	16	22	49	00		311,8	302,7	311,2	0,0	263,5
153	21	08	11	16	42	49	00		106,7	118,6	83,7	126,9	79,1
154	21	08	11	17	02	49	00		67,6	71,1	74,5	80,5	83,7
155	21	08	11	17	22	49	00		228,8	230,7	235,6	237,1	178,0
156	21	08	11	17	42	49	00		90,0	329,0	326,3	45,0	352,9
157	21	08	11	18	02	49	00		35,0	66,8	23,2	78,2	315,0
158	21	08	11	18	22	49	00		40,0	41,2	46,1	32,6	41,4
159	21	08	11	18	42	49	00		246,6	233,1	254,1	242,8	174,3
160	21	08	11	19	02	49	00		129,0	139,1	156,8	159,4	117,3
161	21	08	11	19	22	49	00		245,3	248,6	245,6	227,1	330,1
162	21	08	11	19	42	49	00		18,4	29,5	28,9	48,6	84,4
163	21	08	11	20	02	49	00		222,5	212,2	230,2	228,9	198,4
164	21	08	11	20	22	49	00		53,7	59,0	94,4	85,9	190,3
165	21	08	11	20	42	49	00		285,3	315,0	299,7	288,4	288,4
166	21	08	11	21	02	49	00		140,5	104,3	130,9	118,7	134,2
167	21	08	11	21	22	49	00		330,1	340,4	331,1	323,6	324,7
168	21	08	11	21	42	49	00		211,0	222,1	224,1	234,0	247,4
169	21	08	11	22	02	49	00		138,6	123,7	86,8	148,0	189,5
170	21	08	11	22	22	49	00		158,2	152,2	168,7	146,3	128,7
171	21	08	11	22	42	49	00		306,9	286,7	294,7	276,7	301,5
172	21	08	11	23	02	49	00		129,8	121,0	149,0	170,5	189,5
173	21	08	11	23	22	49	00		310,9	308,8	293,0	296,6	310,7
174	21	08	11	23	42	49	00		212,6	214,7	203,7	215,6	203,2
175	21	08	12	00	02	49	00		281,3	275,4	235,0	229,9	229,6
176	21	08	12	00	22	49	00		270,0	259,1	247,0	249,4	246,6
177	21	08	12	00	42	49	00		149,0	56,3	166,0	82,9	133,4
178	21	08	12	01	02	49	00		200,3	222,6	213,4	227,7	195,7
179	21	08	12	01	22	49	00		245,1	256,8	285,9	217,9	263,7
180	21	08	12	01	42	49	00		315,0	296,6	285,3	301,0	172,9
181	21	08	12	02	02	49	00		356,1	339,4	11,7	331,6	336,8
182	21	08	12	02	22	49	00		309,8	258,7	330,9	288,4	26,6
183	21	08	12	02	42	49	00		248,2	229,4	235,8	223,7	183,4
184	21	08	12	03	02	49	00		356,4	0,0	350,5	356,2	7,9
185	21	08	12	03	22	49	00		272,7	304,6	288,4	265,6	49,4
186	21	08	12	03	42	49	00		241,9	213,7	238,0	199,3	286,7
187	21	08	12	04	02	49	00		35,5	322,1	332,1	331,7	321,8
188	21	08	12	04	22	49	00		206,0	194,3	209,7	204,5	217,3
189	21	08	12	04	42	49	00		189,2	195,5	187,8	188,7	173,2
190	21	08	12	05	02	49	00		296,6	50,7	0,0	288,4	14,9
191	21	08	12	05	22	49	00		215,9	205,5	210,4	209,7	215,1
192	21	08	12	05	42	49	00		268,5	270,0	230,2	250,6	246,0
193	21	08	12	06	02	49	00		180,0	193,1	177,1	177,3	163,6
194	21	08	12	06	22	49	00		252,6	266,6	274,0	250,7	203,7
195	21	08	12	06	42	49	00		150,8	147,7	135,0	130,6	152,1
196	21	08	12	07	02	49	00		286,3	264,6	273,8	273,8	284,0
197	21	08	12	07	22	49	00		184,4	191,6	198,4	191,6	203,0
198	21	08	12	07	42	49	00		209,7	209,9	191,3	197,1	189,0
199	21	08	12	08	02	49	00		2,0	358,0	13,5	8,4	153,4
200	21	08	12	08	22	49	00		29,7	170,5	98,7	9,5	131,4
201	21	08	12	08	42	49	00		192,0	204,8	187,9	194,9	213,0
202	21	08	12	09	02	49	00		238,5	263,8	260,5	282,3	293,6
203	21	08	12	09	22	49	00		206,6	196,5	202,8	212,6	243,4
204	21	08	12	09	42	49	00		268,5	284,3	288,4	300,3	299,2
205	21	08	12	10	02	49	00		167,5	175,2	155,8	187,1	226,0
206	21	08	12	10	22	49	00		263,2	257,7	266,2	301,0	268,6
207	21	08	12	10	42	49	00		200,6	200,2	199,8	206,6	229,8
208	21	08	12	11	02	49	00		216,3	254,7	216,9	193,2	132,0
209	21	08	12	11	22	49	00		247,5	265,0	236,7	264,4	286,9
210	21	08	12	11	42	49	00		198,4	257,5	53,1	341,6	347,7
211	21	08	12	12	02	49	00		182,9	193,6	197,5	198,4	213,7
