Seaguard RCM DW
Product number:	4451
Serial number:	184

		System Parameters(0)				Conductivity #517(517)		DCS #352(352)													Pressure #363(363)		Temperature #318(318)	Depth and Salinity(Virtual)(0)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Pressure(kPa)	Temperature(DegC)	Temperature(DegC)	Depth(m)	Salinity(PSU)	Density(kg/m^3)	Latitude(Deg)	Air Pressure(kPa)
407	18.08.21 01:33:58	8.731	9465856	1798994	0.000	0.022	26.237	23.581	254.478	-6.310	-22.721	300.631	44.484	44.626	120.240	-69.547	50	80.096	81.336	0.474	95.559	26.159	26.172	-0.569	0.019	996.753	44.000	101.300
408	18.08.21 02:03:58	8.725	9465856	1798994	0.000	0.021	26.062	50.188	304.640	28.527	-41.292	301.068	44.484	44.634	121.440	-69.472	50	80.152	82.709	0.606	95.766	26.010	26.022	-0.549	0.018	996.792	44.000	101.300
409	18.08.21 02:33:58	8.725	9465856	1798994	0.000	0.021	25.933	21.673	272.926	1.106	-21.645	300.619	44.487	44.636	127.267	-69.550	50	80.174	81.373	0.540	95.557	25.879	25.890	-0.570	0.018	996.827	44.000	101.300
410	18.08.21 03:03:58	8.731	9465856	1798993	0.000	0.021	25.811	34.850	34.973	28.557	19.976	300.631	44.476	44.631	118.577	-69.486	50	80.092	81.465	0.599	95.602	25.762	25.774	-0.565	0.018	996.858	44.000	101.300
411	18.08.21 03:33:58	8.725	9465856	1798994	0.000	0.022	25.674	34.057	247.707	-12.919	-31.512	300.849	44.480	44.642	115.079	-69.597	50	80.170	81.428	0.514	95.660	25.660	25.668	-0.559	0.019	996.886	44.000	101.300
412	18.08.21 04:03:58	8.725	9465856	1798994	0.000	0.021	25.619	98.350	313.842	68.124	-70.936	300.616	44.477	44.623	121.487	-69.483	50	80.052	81.705	0.601	95.480	25.568	25.575	-0.577	0.018	996.910	44.000	101.300
413	18.08.21 04:33:58	8.725	9465856	1798994	0.000	0.021	25.513	2.933	203.947	-2.681	-1.191	300.779	44.513	44.635	128.319	-69.579	50	80.307	81.247	0.497	95.521	25.486	25.492	-0.573	0.018	996.932	44.000	101.300
414	18.08.21 05:03:58	8.725	9465856	1798994	0.000	0.022	25.447	40.199	53.207	24.076	32.191	300.612	44.477	44.633	120.573	-69.477	50	80.102	81.462	0.525	95.544	25.413	25.418	-0.571	0.018	996.951	44.000	101.300
415	18.08.21 05:33:58	8.725	9465856	1798993	0.000	0.020	25.349	17.122	193.272	-16.664	-3.931	300.749	44.488	44.635	127.338	-69.569	50	80.169	81.415	0.521	95.408	25.347	25.351	-0.584	0.018	996.968	44.000	101.300
416	18.08.21 06:03:58	8.725	9465856	1798995	0.000	0.021	25.308	52.842	353.568	52.510	-5.920	301.024	44.503	44.620	118.517	-69.449	50	80.166	81.162	0.404	95.421	25.289	25.294	-0.583	0.018	996.983	44.000	101.300
417	18.08.21 06:33:58	8.708	9465856	1798993	0.000	0.021	25.249	61.556	12.693	60.052	13.525	300.915	44.499	44.630	123.023	-69.500	50	80.200	81.411	0.501	95.554	25.237	25.242	-0.570	0.018	996.997	44.000	101.300
418	18.08.21 07:03:58	8.720	9465856	1798993	0.000	0.021	25.199	35.913	298.701	17.247	-31.500	300.673	44.497	44.623	130.330	-69.581	50	80.153	81.346	0.502	95.475	25.190	25.195	-0.578	0.018	997.009	44.000	101.300
419	18.08.21 07:33:58	8.714	9465856	1798993	0.000	0.020	25.174	30.468	234.974	-17.487	-24.950	300.862	44.498	44.638	123.100	-69.487	50	80.242	81.200	0.456	95.474	25.149	25.153	-0.578	0.018	997.019	44.000	101.300
420	18.08.21 08:03:58	8.720	9465856	1798995	0.000	0.021	25.132	24.502	13.785	23.796	5.838	300.503	44.509	44.620	129.826	-69.517	50	80.200	81.380	0.479	95.523	25.112	25.115	-0.573	0.018	997.030	44.000	101.300
421	18.08.21 08:33:58	8.725	9465856	1798993	0.000	0.021	25.122	79.835	354.970	79.527	-7.000	300.705	44.475	44.636	119.814	-69.476	50	80.105	81.392	0.551	95.466	25.080	25.080	-0.579	0.018	997.038	44.000	101.300
422	18.08.21 09:03:58	8.720	9465856	1798994	0.000	0.021	25.076	11.119	51.332	6.947	8.681	300.634	44.497	44.605	142.555	-69.485	50	80.052	81.327	0.537	95.457	25.049	25.052	-0.580	0.018	997.046	44.000	101.300
423	18.08.21 09:33:58	8.720	9465856	1798994	0.000	0.021	25.031	35.711	178.381	-35.697	1.009	300.553	44.503	44.635	126.478	-69.540	50	80.257	81.668	0.549	95.334	25.021	25.023	-0.592	0.018	997.053	44.000	101.300
424	18.08.21 10:03:58	8.714	9465856	1798994	0.000	0.021	24.992	44.198	127.593	-26.963	35.021	300.654	44.515	44.631	134.658	-69.605	50	80.299	82.244	0.561	95.419	24.996	24.997	-0.583	0.018	997.060	44.000	101.300
425	18.08.21 10:33:58	8.714	9465856	1798994	0.000	0.021	24.993	21.123	275.706	2.100	-21.018	300.648	44.481	44.653	130.637	-69.540	50	80.236	81.488	0.524	95.411	24.974	24.974	-0.584	0.018	997.066	44.000	101.300
426	18.08.21 11:03:58	8.720	9465856	1798993	0.000	0.021	24.968	27.827	18.761	26.348	8.950	300.572	44.505	44.641	135.831	-69.493	50	80.301	81.712	0.537	95.465	24.953	24.952	-0.579	0.018	997.072	44.000	101.300
427	18.08.21 11:33:58	8.708	9465856	1798993	0.000	0.021	24.947	15.312	318.981	11.553	-10.050	300.592	44.496	44.646	122.219	-69.580	50	80.273	81.363	0.508	95.394	24.933	24.932	-0.586	0.018	997.076	44.000	101.300
428	18.08.21 12:03:58	8.720	9465856	1798993	0.000	0.020	24.921	15.678	69.513	5.487	14.687	300.493	44.524	44.644	129.411	-69.552	50	80.413	81.688	0.496	95.383	24.916	24.915	-0.587	0.018	997.081	44.000	101.300
429	18.08.21 12:33:58	8.720	9465856	1798994	0.000	0.021	24.894	38.617	76.641	8.923	37.572	300.592	44.517	44.652	128.005	-69.531	50	80.422	82.135	0.522	95.415	24.898	24.899	-0.584	0.018	997.085	44.000	101.300
430	18.08.21 13:03:58	8.714	9465856	1798994	0.000	0.021	24.880	17.211	64.471	7.418	15.531	300.752	44.511	44.637	133.691	-69.558	50	80.307	81.281	0.466	95.422	24.885	24.885	-0.583	0.018	997.088	44.000	101.300
431	18.08.21 13:33:58	8.714	9465856	1798993	0.000	0.021	24.873	55.909	222.293	-41.357	-37.623	300.722	44.518	44.634	126.466	-69.595	50	80.328	81.488	0.488	95.354	24.873	24.872	-0.590	0.018	997.092	44.000	101.300
432	18.08.21 14:03:58	8.720	9465856	1798995	0.000	0.020	24.873	4.718	10.284	4.643	0.842	300.494	44.519	44.620	134.598	-69.514	50	80.250	81.026	0.458	95.400	24.860	24.860	-0.585	0.018	997.095	44.000	101.300
433	18.08.21 14:33:58	8.714	9465856	1798994	0.000	0.020	24.868	39.678	33.411	33.121	21.849	300.422	44.519	44.605	125.708	-69.577	50	80.175	81.268	0.511	95.223	24.851	24.850	-0.603	0.018	997.097	44.000	101.300
434	18.08.21 15:03:58	8.714	9465856	1798994	0.000	0.020	24.834	41.935	27.039	37.352	19.064	281.571	44.043	44.766	124.071	-69.546	50	79.691	82.045	3.432	95.344	24.838	24.833	-0.591	0.018	997.101	44.000	101.300
435	18.08.21 15:33:58	8.702	9465856	1798994	0.000	0.017	24.484	16.734	89.068	0.272	16.732	204.865	34.976	34.251	127.096	-67.162	50	68.140	82.504	25.441	95.483	24.247	24.344	-0.577	0.017	997.224	44.000	101.300
